AccountNo,Type,PIN,Name,Balance,Overdraft,OverdraftLimit,Address,Birthday,Age,UnclearedBalance,Reserve,ReserveDate,isSuspend
2222,Saver,468421,fluffy,0.0,0.0,0.0,111,1998-08-20,20,0.0,false,null,false
123,Saver,560896,ZLC,20.0,0.0,0.0,11,1997-07-29,21,0.0,false,null,false
123,Saver,560896,ZLC,20.0,0.0,0.0,11,1997-07-29,21,0.0,false,null,false
11,Saver,993765,ZLC,949.0,0.0,0.0,111,1998-08-20,20,0.0,true,2019-05-13,false
11,Saver,993765,ZLC,949.0,0.0,0.0,111,1998-08-20,20,0.0,true,2019-05-13,false
11,Saver,993765,ZLC,949.0,0.0,0.0,111,1998-08-20,20,0.0,true,2019-05-13,false
2222,Saver,468421,fluffy,0.0,0.0,0.0,111,1998-08-20,20,0.0,false,null,false
2222,Saver,468421,fluffy,0.0,0.0,0.0,111,1998-08-20,20,0.0,false,null,false
2222,Saver,468421,fluffy,0.0,0.0,0.0,111,1998-08-20,20,0.0,false,null,false
2222,Saver,468421,fluffy,0.0,0.0,0.0,111,1998-08-20,20,0.0,false,null,false
2222,Saver,468421,fluffy,0.0,0.0,0.0,111,1998-08-20,20,0.0,false,null,false
